print_id,card_number,name_ja,tags,ko_name,ko_text,ko_memo
178,hBD24-001,パヴォリア・レイネ,,,,
179,hBD24-002,獅白ぼたん,,,,
184,hBD24-003,戌神ころね,,,,
181,hBD24-004,白上フブキ,,,,
183,hBD24-005,姫森ルーナ,,,,
180,hBD24-006,クレイジー・オリー,,,,
187,hBD24-007,ジジ・ムリン,,,,
182,hBD24-008,ベスティア・ゼータ,,,,
186,hBD24-009,セシリア・イマーグリーン,,,,
185,hBD24-010,雪花ラミィ,,,,
188,hBD24-011,ネリッサ・レイヴンクロフト,,,,
189,hBD24-012,白銀ノエル,,,,
190,hBD24-013,紫咲シオン,,,,
191,hBD24-014,こぼ・かなえる,,,,
192,hBD24-015,百鬼あやめ,,,,
194,hBD24-016,沙花叉クロヱ,,,,
193,hBD24-017,兎田ぺこら,,,,
202,hBD24-018,アユンダ・リス,,,,
198,hBD24-019,尾丸ポルカ,,,,
200,hBD24-020,フワワ・アビスガード,,,,
197,hBD24-021,モココ・アビスガード,,,,
196,hBD24-022,儒烏風亭らでん,,,,
201,hBD24-023,癒月ちょこ,,,,
199,hBD24-024,ムーナ・ホシノヴァ,,,,
195,hBD24-025,アキ・ローゼンタール,,,,
203,hBD24-026,猫又おかゆ,,,,
205,hBD24-027,火威青,,,,
204,hBD24-028,ハコス・ベールズ,,,,
206,hBD24-029,さくらみこ,,,,
208,hBD24-030,アーニャ・メルフィッサ,,,,
207,hBD24-031,オーロ・クロニー,,,,
209,hBD24-032,博衣こより,,,,
213,hBD24-033,IRyS,,,,
216,hBD24-034,星街すいせい,,,,
210,hBD24-035,桃鈴ねね,,,,
217,hBD24-036,不知火フレア,,,,
215,hBD24-037,森カリオペ,,,,
211,hBD24-038,古石ビジュー,,,,
214,hBD24-039,音乃瀬奏,,,,
212,hBD24-040,天音かなた,,,,
143,hBD24-041,エリザベス・ローズ・ブラッドフレイム,,,,
144,hBD24-042,シオリ・ノヴェラ,,,,
218,hBD24-043,ラオーラ・パンテーラ,,,,
220,hBD24-044,一条莉々華,,,,
145,hBD24-045,ときのそら,,,,
146,hBD24-046,一伊那尓栖,,,,
219,hBD24-047,ロボ子さん,,,,
221,hBD24-048,ラプラス・ダークネス,,,,
222,hBD24-049,響咲リオナ,,,,
223,hBD24-050,角巻わため,,,,
147,hBD24-051,轟はじめ,,,,
224,hBD24-052,鷹嶺ルイ,,,,
148,hBD24-053,水宮枢,,,,
226,hBD24-054,風真いろは,,,,
149,hBD24-055,AZKi,,,,
228,hBD24-056,大空スバル,,,,
154,hBD24-057,小鳥遊キアラ,,,,
157,hBD24-058,輪堂千速,,,,
155,hBD24-059,アイラニ・イオフィフティーン,,,,
153,hBD24-060,虎金妃笑虎,,,,
156,hBD24-061,宝鐘マリン,,,,
151,hBD24-062,常闇トワ,,,,
152,hBD24-063,赤井はあと,,,,
150,hBD24-064,大神ミオ,,,,
158,hBD24-065,綺々羅々ヴィヴィ,,,,
159,hBD24-066,カエラ・コヴァルスキア,,,,
227,hBP01-001,天音かなた,,,,
232,hBP01-002,七詩ムメイ,,,,
225,hBP01-003,アキ・ローゼンタール,,,,
229,hBP01-004,兎田ぺこら,,,,
230,hBP01-005,鷹嶺ルイ,,,,
231,hBP01-006,小鳥遊キアラ,,,,
233,hBP01-007,星街すいせい,,,,
234,hBP01-008,こぼ・かなえる,,,,
235,hBP01-009,天音かなた,"#4期生, #JP, #歌",,,
236,hBP01-010,天音かなた,"#4期生, #JP, #歌",,,
237,hBP01-011,天音かなた,"#4期生, #JP, #歌",,,
238,hBP01-012,天音かなた,"#4期生, #JP, #歌",,,
239,hBP01-013,天音かなた,"#4期生, #JP, #歌",,,
241,hBP01-014,天音かなた,"#4期生, #JP, #歌",,,
240,hBP01-015,七詩ムメイ,"#EN, #Promise, #トリ, #絵",,,
245,hBP01-016,七詩ムメイ,"#EN, #Promise, #トリ, #絵",,,
247,hBP01-017,七詩ムメイ,"#EN, #Promise, #トリ, #絵",,,
242,hBP01-018,七詩ムメイ,"#EN, #Promise, #トリ, #絵",,,
244,hBP01-019,七詩ムメイ,"#EN, #Promise, #トリ, #絵",,,
246,hBP01-020,七詩ムメイ,"#EN, #Promise, #トリ, #絵",,,
243,hBP01-021,ときのそら,"#0期生, #JP, #歌",,,
248,hBP01-022,ときのそら,"#0期生, #JP, #歌",,,
249,hBP01-023,ときのそら,"#0期生, #JP, #歌",,,
250,hBP01-024,ベスティア・ゼータ,"#ID, #ID3期生",,,
251,hBP01-025,ベスティア・ゼータ,"#ID, #ID3期生",,,
252,hBP01-026,ベスティア・ゼータ,"#ID, #ID3期生",,,
253,hBP01-027,ベスティア・ゼータ,"#ID, #ID3期生",,,
254,hBP01-028,IRyS,"#EN, #Promise, #歌",,,
255,hBP01-029,IRyS,"#EN, #Promise, #歌",,,
259,hBP01-030,IRyS,"#EN, #Promise, #歌",,,
260,hBP01-031,IRyS,"#EN, #Promise, #歌",,,
