illustration_id,card_number,rarity
67,hBD24-067,P
161,hBP01-034,P
179,hBP01-040,P
264,hBP01-069,P
293,hBP01-078,P
430,hBP02-007,P
439,hBP02-010,P
475,hBP02-023,P
482,hBP02-025,P
485,hBP02-026,P
676,hBP03-004,P
693,hBP03-010,P
736,hBP03-027,P
778,hBP03-044,P
803,hBP03-055,P
812,hBP03-058,P
824,hBP03-063,P
840,hBP03-069,P
970,hBP04-010,P
1053,hBP04-046,P
1080,hBP04-055,P
1120,hBP04-070,P
1146,hBP04-080,P
1302,hBP05-040,P
1309,hBP05-043,P
1370,hBP05-069,P
1494,hBP06-034,P
1543,hBP06-057,P
1546,hBP06-058,P
1782,hBP07-066,P
1787,hBP07-068,P
1795,hBP07-071,P
1873,hPR-002,P
1875,hPR-002,U
1882,hSD01-005,P
1892,hSD01-010,P
1925,hSD02-005,P
1949,hSD03-005,P
1969,hSD04-005,P
2149,hY01-008,P
2152,hY01-011,P
2162,hY02-009,P
2173,hY03-010,P
2185,hY04-008,P
2194,hY05-006,P
2205,hY06-008,P
